Encabezado:
	Formato: multipista sincronica
	Numero de pistas: 20
	Pulsos por negra: 240
Pista 0:
	Tama~no: 114
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 0
[16] Evento: metaevento, Canal: 0
[80] Evento: metaevento, Canal: 0
[80] Evento: metaevento, Canal: 0
[80] Evento: metaevento, Canal: 15
[80] Evento: metaevento, Canal: 15
[80] Evento: metaevento, Canal: 15
[80] Evento: metaevento, Canal: 15
[111] Evento: metaevento, Canal: 15
[111] Evento: metaevento, Canal: 15
Final de la pista 0.
Pista 1:
	Tama~no: 7843
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: cambio de control, Canal: 0
[31] Evento: cambio de control, Canal: 0
[62] Evento: cambio de control, Canal: 0
[93] Evento: cambio de control, Canal: 0
[240] Evento: cambio de control, Canal: 0
[241] Evento: cambio de control, Canal: 0
[242] Evento: cambio de programa, Canal: 0
[243] Evento: cambio de control, Canal: 0
[243] Evento: cambio de control, Canal: 0
[8640] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[10080] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 127
[10320] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[10320] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[10560] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[10560] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[10680] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[10680] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[10800] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[10800] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[10920] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[10920] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[11040] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[11040] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 127
[11280] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[11280] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[11400] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[11400] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[11520] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[11520] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[11640] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[11640] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[12240] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[12240] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[12480] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[12480] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[12600] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[12600] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[12720] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[12720] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[12840] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[12840] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[12960] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 127
[12960] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[13200] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[13200] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[13320] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[13320] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[13440] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[13440] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[13560] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[13560] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[13680] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[13680] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[13800] Evento: nota encendida, Canal: 0, Nota: C#, Octava: 4, Velocidad: 127
[13800] Evento: nota encendida, Canal: 0, Nota: G#, Octava: 3, Velocidad: 127
[13890] Evento: nota encendida, Canal: 0, Nota: G#, Octava: 3, Velocidad: 0
[13890] Evento: nota encendida, Canal: 0, Nota: C#, Octava: 4, Velocidad: 0
[13920] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[13920] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 127
[14160] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[14160] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[14400] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[14400] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[14520] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[14520] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[14640] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[14640] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[14760] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[14760] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[14880] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[14880] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 127
[15120] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[15120] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[15240] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[15240] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[15360] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[15360] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[15480] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[15480] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[16080] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[16080] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[16320] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[16320] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[16440] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[16440] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[16560] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[16560] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[16680] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[16680] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[16800] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 127
[16800] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[17040] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[17040] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[17160] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[17160] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[17280] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[17280] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[17400] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[17400] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[17520] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[17520] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[17640] Evento: nota encendida, Canal: 0, Nota: C#, Octava: 4, Velocidad: 127
[17640] Evento: nota encendida, Canal: 0, Nota: G#, Octava: 3, Velocidad: 127
[17730] Evento: nota encendida, Canal: 0, Nota: G#, Octava: 3, Velocidad: 0
[17730] Evento: nota encendida, Canal: 0, Nota: C#, Octava: 4, Velocidad: 0
[17760] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[17760] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 127
[18000] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[18000] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[18240] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[18240] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[18360] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[18360] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[18480] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[18480] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[18600] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[18600] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[18720] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[18720] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 127
[18960] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[18960] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[19080] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[19080] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[19200] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[19200] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[19320] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[19320] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[19920] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[19920] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[20160] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[20160] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[20280] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[20280] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[20400] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[20400] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[20520] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[20520] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[20640] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 127
[20640] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[20880] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[20880] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[21000] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[21000] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[21120] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[21120] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[21240] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[21240] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[21360] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[21360] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[21480] Evento: nota encendida, Canal: 0, Nota: C#, Octava: 4, Velocidad: 127
[21480] Evento: nota encendida, Canal: 0, Nota: G#, Octava: 3, Velocidad: 127
[21570] Evento: nota encendida, Canal: 0, Nota: G#, Octava: 3, Velocidad: 0
[21570] Evento: nota encendida, Canal: 0, Nota: C#, Octava: 4, Velocidad: 0
[21600] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[21600] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 127
[21840] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[21840] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[22080] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[22080] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[22200] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[22200] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[22320] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[22320] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[22440] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[22440] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[22560] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[22560] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 127
[22800] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[22800] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[22920] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[22920] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[23040] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[23040] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[23160] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[23160] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[23880] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[23880] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[24000] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 127
[24000] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[24000] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[24090] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[24090] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[24090] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 0
[24120] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[24120] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[24120] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 127
[24210] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 0
[24210] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[24210] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[24720] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 127
[24720] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[24720] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[24810] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[24810] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[24810] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 0
[24840] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 127
[24840] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 127
[24840] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[24930] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[24930] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[24930] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 0
[24960] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 127
[24960] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[24960] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[25050] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[25050] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[25050] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 0
[25080] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[25080] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[25080] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 127
[25170] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 0
[25170] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[25170] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[25560] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[25650] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[25680] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[25680] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 127
[25680] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[25770] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[25770] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 0
[25770] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[25920] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 127
[25920] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[25920] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[26040] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[26040] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[26040] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 0
[26160] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[26160] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 127
[26160] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[26280] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[26280] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 0
[26280] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[26400] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 127
[26400] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 127
[26400] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 127
[26640] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 0
[26640] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[26640] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[26760] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[26760] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[26760] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[27300] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[27300] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[27300] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[27360] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[27420] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[27420] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[27480] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[27480] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[27540] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[27840] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 127
[27840] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[27840] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[27930] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[27930] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[27930] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 0
[27960] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[27960] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 127
[27960] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[28050] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[28050] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 0
[28050] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[28200] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 127
[28200] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[28200] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[28320] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[28320] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[28320] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 0
[28560] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 127
[28560] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[28560] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[28710] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[28710] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[28710] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 0
[28800] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 127
[28800] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 127
[28800] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 127
[28890] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 4, Velocidad: 0
